Дата,Категория,Сумма,Описание
2024-05-06,Расход,23,ыфвфыв
2024-05-06,Расход,67676767,апропопо
2024-05-07,Доход,1011,да
2024-05-07,Доход,1312,па
2024-05-07,Доход,222,вывы
2024-05-09,Доход,23,вадлд
2024-05-09,Доход,-23,цвыв
2024-05-09,Доход,3,ывыв
2024-05-09,Доход,2132,ывыв
2024-06-06,Доход,23,прив
2024-05-09,Доход,2000,Доход
2024-05-09,Доход,34,Пока
2024-05-09,Доход,5555555555,Приет2131
2024-05-09,Доход,23,Ва
2024-05-09,Расход,45,описание
2024-05-09,Расход,56,ва
11-11-11,Доход,56,ваа
2024-05-09,Доход,45,ку
